CODE|LN|NOTE
078|1|Models W/O 4 wheel steering, 122 ft-lbs. Models W/
078|2|4 wheel steering, 148 ft-lbs.
079|1|Lower bolt, 25 ft-lbs. Upper bolt 29 ft-lbs.
080|1|Torque to 70 ft-lbs and then tighten another 37 degrees.
081|1|Warning! Before bleeding the system, high pressure must be
081|2|released from the accumulator and power unit. A special
081|3|ALB-T wrench (Part No. 07HAA-SG00100) or equivalent
081|4|must be used to bleed the power unit valve under the red
081|5|cap. System pressures may be as much as 3000 PSI.
081|6|A face shield should be worn and the connections covered
081|7|with a rag when bleeding the system. Note: If ABS light
081|8|comes on and stays on, remove the 15 amp fuse to erase
081|9|codes and turn off light.
082|1|Accumulator pressures in the hydraulic
082|2|lines is very high. Be sure to discharge the
082|3|pressure by pumping the brake pedal 25-30 times
082|4|with the ignition off before servicing the system.
082|5|Do not turn the ignition on during the bleeding sequence.
083|1|Warning! When driving the vehicle before and after service,
083|2|be sure to do so in a safe area.
084|1|Do not allow the pump to run for more than 60 seconds or a
084|2|cool down time of several minutes must be allowed.
085|1|Warning! System pressures may be as much as 3000 PSI. A face
085|2|shield should be worn and the connections covered with a rag
085|3|when bleeding the system.
086|1|With solid rotor.
087|1|With vented rotor.
088|1|If no fluid flows from the bleeder valve, loosen the
088|2|flexible hose union bolt on the accumulator.
088|3|This will make it easier  for fluid to come out of the
088|4|bleeder valve.
089|1|1993-1994 LS400, the pump will operate for 20 seconds and
089|2|then shut off. The engine must be restarted to run the pump.
089|3|If the system sets a trouble code, the pump will not run.
089|4|Clear trouble codes to restart the pump.
089|5|Check for trouble codes after following procedure and
089|6|clear any that are found.
091|1|Many models use master cylinders that do not have check
091|2|valves. When bleeding the master cylinder, remove the brake
091|3|lines. Depress the brake pedal, put a finger over the open
091|4|port and then release the pedal. Move on to next port.
091|5|Repeat until air is removed from the master cylinder.
092|1|When pressure bleeding the system, follow steps EXCEPT
092|2|do not apply the brake pedal
093|1|Perform this procedure for the brakes connecting to the
093|2|secondary chamber of the master cylinder first and then
093|3|for the ones connecting. Road test the vehicle and check
093|4|for trouble codes.
094|1|Extreme care must be taken when driving the vehicle.
094|2|When ABS initialization occurs the brake pedal may become
094|3|very soft and travel near the floor. Use extreme care to
094|4|assure adequate braking during this procedure. After
094|5|bleeding system inspect  brake pedal feel and
094|6|road test vehicle. After the road test, the manufacturer
094|7|recommends bleeding the system again.
095|1|With ABS, using the (NGS) Scan tool and accessing
095|2|SERVICE BLEED FUNCTION drives air from the
095|3|ABS actuator.
096|1|DO NOT pressure bleed without proper master cylinder adapter
096|2|The wrong adapter can lead to leakage, and or draw air back
096|3|to the system.
097|1|Then turn an additional 45 degrees
098|1|Maximum machining limit per friction ring side, .031 inch
098|2|M series and models with Perforated Rotors Do Not
098|3|Machine Rotors, Replace only
099|1|0.5 3.5 Ra (microns)
100|1|Installed, .008 inch ; removed, .0016 inch
101|1|Models 690.6, 901-905, WD2YD441, YD541 130-150 ft-lbs
101|2|Models WD5.WD141, WD241, WD341, WD2, YD141, YD241, YD341
101|3|167-187 ft-lbs.
102|1|Discard thickness stamped on drum.
103|1|Discard thickness stamped on disc.
104|1|With rear of axle brake calipers.
105|1|Not specified by manufacturer.
106|1|With rotor attached to vehicle.
107|1|Runout limit with wheel fitted
108|1|Maximum machining limit per friction side .031 inch.
109|1|Front caliper with M14-10.9: bolts
109|2|163 ft-lbs; M16-10.9: bolts 207 ft-lbs
110|1|Front all with code Z07 + 979: 133 ft-lbs. All without
110|2|code Z07 + 979 85 ft-lbs.
112|1|W/ Steel rims: 132 ft-lbs; W/ light alloy rims: 95 ft-lbs
113|1|Front brake caliper retaining bolts 103 ft-lbs + 45 degrees
114|1|Nominal thickness can vary from 1.097 to 1.107 inch
115|1|Nominal thickness can vary from 1.098 to 1.106 inch
116|1|Nominal thickness can vary from 0.488 to 0.496 inch
118|1|Tighten an additional 90 Lb-ft.
119|1|Only if any components upstream of brake modulator
119|2|including the modulator itself are replaced.
120|1|Only for pressure bleeding.
121|1|Then turn an additional 90 degrees
122|1|Solid rear rotor 20 ft-lbs Vented rear rotor 27 ft-lbs.
123|1|Tighten an additional 60 ft-lbs.
124|1|Brake disc PR-No. 1ZF
125|1|Brake disc PR-No. 1ZE
126|1|Brake disc PR-No. 1LJ
127|1|Brake disc PR-No. 1LK
128|1|Brake disc PR-No. 1KQ, 1KD
129|1|Brake disc PR-No. 1KF, 1KE
130|1|Brake disc PR-No. 1KZ, 1KJ, 1KU
131|1|Rear caliper, Torque to 90 Nm + additional 90 degrees.
132|1|Always replace bolts. Lower bolt torque to 85 ft-lbs. Upper
132|2|bolt torque to 103 ft-lbs.
133|1|Without backing plate.
134|1|PR NO can be used to identify the proper brake caliper/brake
134|2|disc/brake pad combination. The sticker is located in the
134|3|spare wheel recess and in the service booklet.
135|1|With PR NO. 1LB, 1LE, 1LT, 1LF
136|1|With PR NO. 1LA, 1LG
137|1|With PR NO. 1LX, T7Z
138|1|With PR NO 1LJ
139|1|With backing plate included
140|1|With steel wheel carrier torque to 44 ft-lbs. With aluminum
140|2|wheel carrier 52 ft-lbs + 90 degrees. With FN-3.
141|1|Turn an extra 90°
142|1|Not installed on Brembo 17" with PR. No 1LE
143|1|Plus an additional 90 degrees.
144|1|2005-10 Crown Victoria, Grand Marquis if equipped with fire
144|2|suppression system, the system must be depowered.
144|3|Follow steps to depower.
144|4|1.Turn all vehicle accessories OFF.
144|5|2.Turn the ignition to OFF position.
144|6|3.Remove the central fuse 33 (10A).
144|7|4.Turn ignition to ON position and visually monitor the fire
144|8|suppression system indicator for 30 seconds.
144|9|If correct fuse is removed the indicator light will remain
144|a|lit continuously (no flashing). Turn ignition to OFF
144|b|position. Reverse procedure to repower system.
145|1|Note: Do not allow the pump to run for more than 60 seconds
145|2|or a cool down time of several minutes must be allowed.
145|3|Warning! System pressures may be as much as 3000 PSI. A face
145|4|shield should be worn and the connections covered with a rag
145|5|when bleeding the system.
146|1|Lug nut torque 89 ft-lb W/o washer on bolt with washer on
146|2|with washer on bolt 103 ft-lb
147|1|Without traction control
148|1|With traction control
149|1|Equipped with 17 inch disc
150|1|Equipped with 18 inch disc
151|1|Equipped with 16 inch disc
152|1|Equipped with floating caliper.
153|1|Equipped with fixed caliper.
154|1|Plus an additional 40 degrees.
155|1|Aluminum wheels 130 ft-lbs. Steel
155|2|wheels 177 ft-lbs.
156|1|Minimum front disc thickness after machining using a
156|2|on-vehicle brake lathe 0.82 in.
157|1|Tighten the guide pin bolt closest to the bleed valve first
158|1|Then tighten an additional 60 degrees.
159|1|Check for trouble codes after following procedure
159|2|and clear any that are found.
160|1|Nominal thickness can vary from 0.463 to 0.482 inch
161|1|Nominal thickness can vary from 0.389 to 0.399 inch
162|1|Nominal thickness can vary from 0.861 to 0.871 inch
163|1|Nominal thickness can vary from 1.256 to 1.264 inch
164|1|Nominal thickness can vary from 1.020 to 1.028 inch
165|1|Nominal thickness can vary from 0.386 to .402 inch
166|1|Nominal thickness can vary from 0.546 to .556 inch
167|1|With 12 inch rotor.
168|1|With 13 inch rotor.
169|1|With 14 inch rotor.
170|1|Aluminum Wheel: 97 ft lbs.  Steel Wheel: 154 ft lbs.
171|1|Plus an additional 120 degrees.
172|1|Install new lower caliper bolt.
173|1|Chrome Wheel: 110 ft lbs.  Others Wheel: 88 ft lbs.
174|1|Use SAAB thread locking compound 74 96 278 or
174|2|equivalent. Front brake caliper bracket to knuckle torque
174|3|103 ft lbs + 45 degrees.
175|1|Wait at least 15 seconds between each bleeding step.
176|1|Apply parking brake
177|1|CAUTION: If a DTC is indicated, erase the DTC.
177|2|After the procedure of air bleed, perform initialization
177|3|of linear solenoid valve.
177|4|NOTE: It is normal for the brake warning
177|5|buzzer to activate during the air bleed procedure.
178|1|Always replace bolts.
179|1|Rear calipers w/ RPO code (JL9) Caliper 32 ft-lbs,
179|2|with (J65) Caliper 25 ft-lbs.
180|1|Uses electronic wear sensor system
181|1|Then tighten additional 30°.
182|1|Base Brake System Bleeding Note: When any part
182|2|of the hydraulic system has been disconnected for repairs
182|3|or installation of new components, air can get into the
182|4|system and cause spongy brake pedal action.
182|5|This requires bleeding of the hydraulic system, including
182|6|the hydraulic control unit (HCU) after it has been
182|7|correctly installed. If any components upstream of the HCU
182|8|installed, the HCU bleeding procedure must be carried out.
183|1|Note: When any part of the brake hydraulic system has been
183|2|disconnected for repairs or installation of new components,
183|3|air can get into the system and cause spongy brake pedal
183|4|action. This requires bleeding of the hydraulic system
183|5|including the control unit (HCU) after it has been correctly
183|6|installed. If any components upstream of the HCU are
183|7|installed, the HCU bleeding procedure must be carried out.
184|1|Note: To bleed the brake system it is necessary to pressure
184|2|bleed the system. When any part of the hydraulic system as
184|3|disconnected for repairs or installation of new components,
184|4|air can get into the system and cause spongy brake pedal
184|5|action. This requires bleeding of the hydraulic system
184|6|including the control unit (HCU) after it has been correctly
184|7|installed. If any components upstream of the HCU are
184|8|installed, the HCU bleeding procedure must be carried out.
185|1|Note: To bleed the system it is essential to pump the brake
185|2|pedal throughout the entire bleeding process. The bleed
185|3|screw can remain open during the entire pumping process.
186|1|Tightening torque M12 (130 Nm/96 ft-lbs)
186|2|Tightening torque M14 (200 Nm/148 ft-lbs)
187|1|M10x60 and M10x1.25x50 Tighten to 70 Nm + 90°
187|2|M10x1.0x20  Tighten to 95 Nm
188|1|Tighten additional 45 degrees plus additional 15 degrees
189|1|Nominal thickness can vary from 1.019 to 1.029 inch
190|1|Nominal thickness can vary from 0.463 to 0.482 inch
191|1|Center caliper bolt 18 ft-lbs 25 Nm.
192|1|Rear base model 26 ft-lbs; AWD, GT 20 ft-lbs.
193|1|Rear base model 46 ft-lbs; AWD, GT 43 ft-lbs.
194|1|DRW, Wheel tightening torque 140 ft-lbs.
195|1|DRW Caliper to brake torque 56 ft-lbs
196|1|A new lug nut with a recess on the flange was introduced
196|2|at the end of the 2009 production. Tighten lug nut with
196|3|recess on the flange to 96 ft-lb; W/o recess on flange
196|4|tighten to 81 ft-lb.
197|1|Wheel bolt, sheet-steel disk wheel 132 ft-lb.
197|2|Wheel bolt, light alloy disk wheel 95 ft-lb.
197|3|Wheel nut for sheet steel disk wheel  132 ft-lb.
197|4|Wheel nut for light alloy disk wheel   111 ft-lb.
197|5|Wheel nut for light alloy disk (2) piece 129 ft-lb.
198|1|9 mm (wrench size) caliper slide pin tighten 44 ft-lb.
198|2|7 mm (wrench size) caliper slide pin tighten 20 ft-lb
199|1|Measure the disc runout 10 mm (.394 in) away from the outer
199|2|edge on the vehicle with 5 lug nuts torque to 76 ft-lbs.
200|1|Wear limit minimum weight and thickness dimension are
200|2|stamped into the brake disc socket.
201|1|Note: the SBC brake system must be bled menu assisted
201|2|with STAR Diagnosis after removing / installing: SBC
201|3|hydraulic unit, Operating unit, Suction line, Pressure
201|4|reservoir, Brake line (any),or Brake caliper (any)
202|1|Tighten an additional 60 Degrees.
203|1|Measure the disk runout @ 10mm (0.394 in) away from the
203|2|outer edge on the vehicle with lug nuts; torque to 82 ft lbs
204|1|Measure the disk runout @ 10mm (0.394 in) away from the
204|2|outer edge on the vehicle with lug nuts; torque to 76 ft lbs
205|1|Measure the disk runout @ 10mm (.0394 in) away from the
205|2|outer edge on the vehicle with lug nuts; torque to 97 ft lbs
206|1|Measure the disk runout @ 10mm (0.394 in) away from the
206|2|outer edge of the vehicle with lug nuts; torque to 83 ft-lbs
207|1|Measure disk runout @ 10mm (0.394 in) away from the outer
207|2|edge on the vehicle with lug nuts; torque to 97 ft-lbs for
207|3|Aluminum Wheels and 154 ft-lbs for Steel Wheels.
208|1|Z06 Caliper bolt, 30 ft-lbs; caliper to knuckle, 129 ft-lbs.
209|1|Tighten to another 60 to 75 degrees.
210|1|Tighten front to 74 ft-lbs, then turn 60 degrees and tighten
210|2|final 15 degrees. Tighten rear to 67 ft-lbs then additional
210|3|60 degrees.
211|1|Rear brake w/floating caliper 84 ft-lbs,
211|2|w/ fixed caliper, 133 ft-lbs.
212|1|w/ fixed caliper, 195 ft-lbs.
213|1|Runout limit with rotor attached to vehicle.
214|1|Measured at 10mm inside the disk edge.
215|1|When rotor is serviced on vehicle, .006.
216|1|Read values on brake disc chamber.Brake disc cannot be
216|2|machined.
217|1|When rotor is serviced on vehicle, .007.
218|1|If nut/bolt is 9MM then tighten to 55 Nm (41 ft-lbs).
218|2|If nut is smaller (WAF 7) tighten to 30 Nm (22 ft-lbs)
218|3|Replace nuts/bolts.
219|1|With rotor installed.
220|1|Discs that have cracks more than 1.18" in length, including
220|2|the hole or cracks that extend to the edge must be replaced.
222|1|Tighten to 74 ft-lbs, then turn an additional 90 degrees.
223|1|Nominal diameter varies from 1.098-1.106 inches.
224|1|Nominal diameter varies from .902-.909 inches.
225|1|Nominal diameter varies from .350-.358 inches.
226|1|Nominal diameter varies from 1.098-1.102 inches.
227|1|Nominal diameter varies from .429-.437 inches.
228|1|Nominal diameter varies from 8.268-8.272 inches.
229|1|Nominal diameter varies from 8.264-8.268 inches.
230|1|Torque to 111 ft-lbs, then 40-60° past.
231|1|Torque to 74 ft-lbs, then 60-75° past.
232|1|Aluminum wheels 93 ft-lbs, steel wheels 103 ft-lbs.
233|1|Rear tighten additional 90° plus an additional 15°.
234|1|Front caliper bolts built before 8/30/12 140 ft-lbs
234|2|; Built after 8/30/12 121 ft-lbs.
235|1|Tighten front caliper lower guide pin first.
236|1|Rear wheel drive models.
237|1|Front caliper bolts with single mark on bolt head 58 ft-lbs
237|2|; With two marks on bolt head 100 ft-lbs.
238|1|Front caliper bolts M8X70 18 ft-lbs; With M8X28 25 ft-lbs.
239|1|Do not loosen front caliper bolts. The caliper and
239|2|support must be removed complete, otherwise alignment
239|3|of the caliper to the brake disk is not guaranteed.
240|1|Model 207 M8X70 bolt: tighten to 18 ft-lbs: M8x28 bolt:
240|2|tighten to 25 ft-lbs. M8x42: tighten to 41 ft-lbs.
240|3|Model 212 M8x70 bolt: tighten to 18 ft-lbs. M8X28 bolt
240|4|tighten to 25 ft-lbs.
241|1|Front with alluminum thread: Step 1 59 ft-lbs, Step 2 45°;
241|2|With steel sleeve: Step 1 110 ft-lbs, Step 2 45°
242|1|Plus an additional 40 degrees with M14 bolt; Plus an.
242|2|additional 30 degrees with M16 bolt.
243|1|Front top and bottom bolt, 74 ft-lbs; .
243|2|middle bolt, 18 ft-lbs.
244|1|Measure the disk runout @ 10mm (0.394 in) away from the
244|2|outer edge on the vehicle with lug nuts; torque to 89 ft lbs
245|1|Off the vehicle. When mounted on the vehicle, .003.
246|1|Tighten in two steps 1st 15 ft-lbs; 2nd 103 ft-lbs.
247|1|Always replace bolts. Rear caliper bolt tighten additional
247|2|90°.
248|1|Always replace bolts. Rear caliper bolt With M10 thread 48
248|2|ft-lbs; With M12 thread 81 ft-lbs.
249|1|Then turn an additional 45 degrees plus additional 10 degree
250|1|Rear caliper bolt with 2.4L or 3.0L engine with 7 passanger
250|2|seating 38-48 ft-lbs.
251|1|Always replace bolts. Rear caliper bolt With ceramic brakes
251|2|111 ft-lbs plus an additional 90°.
252|1|Plus an additional 75°.
253|1|Fixed caliper; refer to caliper torque
254|1|Then turn an additional 25°
255|1|After initial torque, tighten an additional 15°
255|2|then back off 30°
256|1|Tighten another 60° to 75°.2014, tighten another 20° to 30°.
257|1|Tighten an additional 15°-30°.
258|1|2010-12, 110 ft-lbs; 2013, 111 ft-lbs for blue finish wheel
258|2|nuts,140 ft-lbs for silver finish wheel nuts;
258|3|2014-15 140 ft-lbs
259|1|When measured on vehicle.
260|1|Use on-vehicle lathe only when machining brake disc.
261|1|Nominal Diameter 7.476 - 7.480
262|1|W/ 1 PISTON. Top Bolt, 18 ft-lbs; bottom bolt, 20 ft-lbs
263|1|Spec for non-carbon ceramin brake.  NS if equipped with
263|2|carbon ceramic brakes.
264|1|Stage 1, 3 ft-lbs;  stage 2, 52 ft-lbs;  stage 3, 92 ft-lbs.
265|1|Measure the disc runout 7mm (0.276 inch) away from the outer
265|2|edge of the front disc.  Discs that have cracks more than
265|3|1.18" in length, including the hole or cracks that extend to
265|4|the edge must be replaced.
266|1|Installlug nuts to 88.5 ft-lbs before measurement;
266|2|take measuurement 10mm inside the disc outer periphery.
267|1|Tighten both bolts to 11 ft-lbs
267|2|then tighten both bolts to 148 ft-lbs
268|1|Replace screws, SW9 thread 41 ft-lbs (55nm),
268|2|SW7 thread 22 - 26 ft-lbs (30 - 35 nm)
269|1|Replace self-locking or microencapsulated screws
270|1|Carbon ceramic discs must not be machined
271|1|PCCB brake disc must not be machined.
272|1|Up to VIN A4 PN 078 949.
273|1|Measurment Includes backing plate.
274|1|With DRW: 140 ft-lbs, 8-lug; 175 ft-lbs 10-lug.
275|1|With cone type 5/8" nut, 175-225 ft-lbs. With flanged nut,
275|2|300-350 ft-lbs. With 15" 5 stud wheel,
275|3|80-110 ft-lbs. With 16" 8 stud wheel, 120-150 ft-lbs.
276|1|Equus, Genesis coupe has 2 bleeder screws on the
276|2|front caliper open both and bleed each wheel in sequence.
277|1|Q50, Q70 Hybrid only: Turn the ignition switch ON without
277|2|depressing the brake pedal when performing the procedure
278|1|Aluminium wheels torque to 75 ft-lbs, steel wheels torque to
278|2|63 ft-lbs.
279|1|W/ V8
280|1|W 15" Wheel
281|1|Discs that have cracks more than 1.18" in length, including
281|2|the hole or cracks that extend to the edge must be replaced.
281|3|W/ 1KW, 1KE.
282|1|W 16" Wheel
283|1|2WD W/ SRW
284|1|W/ ceramic rotors.
285|1|W/O ceramic rotors.
286|1|W/ M8 x 28 Bolts
287|1|FSIII 15" 1ZE,1ZP
288|1|Dual Piston Caliper
289|1|Measured with backing plate included.
290|1|W/FN 3 16"
291|1|Measured with backing plate included.
292|1|Convertible.Replace self-locking or microencapsulated screws
293|1|Measured without backing pad.
294|1|Measured without backing pad.
295|1|1LT W/FN3 Caliper
296|1|W/ Drum brakes
297|1|Plus an additional 90°. W/ 1LT W/FN3 Caliper.
298|1|W/ Disc brakes.
299|1|Plus an additional 90°. W/ 1ZD W/ FN3 Caliper.
300|1|Plus an additional 90°. W/ 1ZA W/ FN3 Caliper.
301|1|Plus an additional 90°. W/ 1KZ, 1KE, 1KF
302|1|Plus an additional 90°. W/ J57
303|1|Plus an additional 90°. W/ 1KP,GP0,GP1,GP2
304|1|Plus an additional 90°. W/ 1LM
305|1|Measured without backing plate.
306|1|Plus an additional 90°. W/ 2EA, 1KW
307|1|Plus an additional 90°. W/ 1LA, 1LB, 1LJ/1ZT
308|1|Plus an additional 90°. W/ 1KZ, 1KE, 1KF,1KJ
309|1|Plus an additional 90°. W/ 1KD, 1KQ
310|1|Plus an additional 90°. 1ZF W/ FS111 Caliper
311|1|W/ 14" wheels
312|1|Plus an additional 90°. W/ LS3, J56
313|1|Plus an additional 90°. CII 43 -16" 1KD
314|1|Plus an additional 90°. 1LK W/ FNR Caliper
315|1|Plus an additional 90°. 1LJ W/ FBC 17" Calip
316|1|W 17" wheels
317|1|Plus an additional 90°. W/ CI 38
318|1|Measured above rivet head.
319|1|Plus an additional 90°. W/ L99, LS3
320|1|Plus an additional 90°. W/ J56
321|1|Plus an additional 90°. W/ 1KW,1KE,2EH,1KP
322|1|Plus an additional 90°. W/ LFX
323|1|Plus an additional 90°. 1ZC W/ FN3 Caliper
324|1|Plus an additional 90°. 1LK W/ FNR G57
325|1|Plus an additional 90°. 1LN W/ FNR G57
326|1|Plus an additional 90°. W/ GP0,GP1,GP2,2ED
327|1|Plus an additional 90°. W/ GP1,GP2,2ED,1KZ
328|1|Shelby, Boss models
329|1|Plus an additional 90°. 1ZM W/ FN3 Caliper
330|1|Base, GT
331|1|Plus an additional 90°. 1LJ W/ FN3 Caliper
332|1|Plus an additional 90°. W/ CI 41
333|1|Plus an additional 90°. W/ CII 43 -17" 1KP
334|1|Plus an additional 90°. W/ V-8
335|1|Plus an additional 90°. 1ZE W/ FN3 Caliper
336|1|Plus an additional 90°. W/ 1KJ, 1KU
337|1|Plus an additional 90°. W/ 1KZ
338|1|Plus an additional 90°. Plus an additional 90°.
339|1|Plus an additional 90°. W/ L99, LFX
340|1|Plus an additional 90°. W/ 1KV
341|1|Plus an additional 90°. W/ V-6
342|1|Plus an additional 90°. W/ 1KF
343|1|Plus an additional 90°. W/ 1KW, 1KE,1KP,GP0
344|1|Plus an additional 90°. 1ZF W/ FNR Caliper
345|1|Plus an additional 90°. 1KF, 1KE, 1KJ, 2EL
346|1|Plus an additional 90°. 1LA W/ FBC 16" Calip
347|1|Plus an additional 90°. 1LA W/ FBC 16" Calip
348|1|Plus an additional 90°. W/ 1KW, 1KE,2EH,1KP
349|1|Plus an additional 90°. W/ 1KW, 1KE,2EH,1KP
350|1|Plus an additional 90°. W/ 2ED,1KZ
351|1|Plus an additional 90°. 1LT W/ FN3 Caliper
352|1|Plus an additional 90°. W/ 1LD
353|1|Plus an additional 90°. W/ BREMBO 17/18"
354|1|Plus an additional 90°. 1LM W/ FNR G57
355|1|Plus an additional 90°. W/ 1KF, 1KJ, 1KU
356|1|Plus an additional 90°. W/ 1KW, 1KE,2EH
357|1|Plus an additional 90°. 1LL W/ FN3 Caliper
358|1|With 17" Base Brakes:
358|2|Front caliper bolts built before 8/30/12 140 ft-lbs;
358|3|Built after 8/30/12 121 ft-lbs.
359|1|With 18" Base Brakes:
359|2|Front caliper bolts built before 8/30/12 140 ft-lbs;
359|3|Built after 8/30/12 121 ft-lbs.
360|1|W/ 1ZP W/ FN3 Caliper
361|1|W/ JL9 Brakes
362|1|2WD, Others
363|1|STD VING00442-G45703
364|1|W/ Vin C
365|1|FN3 W/15" Wheels
366|1|Floating Caliper
367|1|SE-R Spec V Model
368|1|W/ 2 Piston Caliper
369|1|2WD, 1-Ton
370|1|1LB, 1LE, 1LF, 1LT
371|1|W/ Code ZO4
372|1|W/ J90, J95, J96
373|1|W/ 2.0L. Always replace bolts. Rear caliper
373|2|bolt tighten additional 90°
374|1|W/ 1KJ+1KQ . Always replace bolts. Rear caliper
374|2|bolt tighten additional 90°
375|1|Sedan. Always replace bolts. Rear caliper
375|2|bolt tighten additional 90°
376|1|W/ 1KU,1KK. Always replace bolts. Rear caliper
376|2|bolt tighten additional 90°.
377|1|W/ 1KW. Always replace bolts. Rear caliper
377|2|bolt tighten additional 90°.
378|1|W/ 1KW, 2EA. Always replace bolts. Rear caliper
378|2|bolt tighten additional 90°.
379|1|W/ 2EA,1KY,1KJ+1KQ. Always replace bolts. Rear caliper
379|2|bolt tighten additional 90°.
380|1|RPO CODES L26,L32
381|1|Standard & Sport
382|1|W/ brembo
383|1|W/ 2EL,1KF
384|1|W/ 2EL,1KF. Tighten additional 90°.
385|1|W/ CTS-V J56
386|1|Nat Aspir W/ Solid
387|1|Wagon
388|1|15 Inch
389|1|9600 Series
390|1|9600 Series. Then turn an additional 45 degrees
391|1|S Limited
392|1|FSIII
393|1|1ZE W/ FN3 Caliper
394|1|Lower
395|1|W/ 1ZF. Rear caliper, Torque to 90 Nm +
395|2|additional 90 degrees.
396|1|W/ 1ZF
397|1|W/ PPV. Turn an extra 90°
398|1|W/ PPV.
399|1|W/ LS
400|1|W/ 4 piston caliper
401|1|W/ 6 piston caliper
402|1|Measurement includes backing plate
403|1|Measured with backing plate included
404|1|Measured with backing plate included
405|1|Measurement includes backing plate
406|1|May use electric wear sensor
406|2|that lights an instrument panel indicator.
407|1|W/ Standard caliper.
408|1|W/ Turbo
409|1|W/O Turbo
410|1|Measurement includes backing plate
411|1|Measurement ncludes backing plate
412|1|Measurement includes backing plate
413|1|GTI model rear includes backing plate
414|1|Rear Measurement includes backing plate
415|1|RWD
416|1|FWD
417|1|RWD models Above rivet head or backing plate.
418|1|RWD models Above rivet head.
